NAME|POSITION(EarthRF)|MASS|RADIUS
Sun|(132823267722.11908,-57454589790.36083,-26362942252.39158)|1.9884754913722736e+30|696342016
Earth|(0.0,0.0,-0.0)|5.972365131085893e+24|6371000
Mercury|(92878493327.38008,-35188645474.43396,-17460349302.47963)|3.301096012882091e+23|2439700
Io|(575696475491.6124,-149617547332.75403,565715137865.5394)|8.929943606013153e+22|1811300
Venus|(229382938486.0797,-95901510515.20084,6299329973.199066)|4.867466265910435e+24|6049000
Jupiter|(575318023466.7297,-149469440804.59225,565623089619.6992)|1.8981872313371659e+27|70941832
Titan|(-464233236356.776,21825344080.801735,-1305835564741.5764)|1.345224848407597e+23|2573300
Phobos|(273242120853.02304,-95318806869.81155,120443448636.21777)|1.061951065030656e+16|7250
Vesta|(-71148455896.81918,38791132244.36735,283891226110.96185)|2.590356332376081e+20|262700
Moon|(-65483421.15530699,-50304870.29219051,-366685878.27663153)|7.3460312199466515e+22|1737100
Mars|(273241874139.21445,-95320531470.03006,120448756860.84157)|6.417120021813109e+23|3375800
Deimos|(273225040973.34003,-95306065022.975,120441240509.35751)|1440733357670400.0|5456
Ceres|(523087998419.345,-256557057199.3374,6070374991.984238)|9.384439759090473e+20|473000
Europa|(575930972077.7633,-149680958453.91385,565852643223.8282)|4.798771851987837e+22|1550800
Ganymede|(574971814110.3302,-149123048030.15262,566543468330.668)|1.4815277322818458e+23|2624100
Callisto|(577051777370.4038,-150138734013.47574,565951163669.7395)|1.0756972009324145e+23|2409300
Saturn|(-464738047341.14465,21928971075.377007,-1306923140725.4453)|5.68336105237087e+26|59216476
Mimas|(-464929913963.7748,21916863795.548233,-1306914477451.4138)|3.751114979943855e+19|198200
Enceladus|(-464882362698.0463,21945888705.315987,-1307117101865.236)|1.080516552855472e+20|252100
Tethys|(-464735165255.8096,21956598650.870277,-1307209694802.8071)|6.17479537709514e+20|531100
Dione|(-464411532907.0827,21955833207.408455,-1307052920558.3877)|1.0955272791119165e+21|561400
Rhea|(-464240417233.1258,21948796853.78099,-1306915212520.742)|2.3065720294033746e+21|763800
Iapetus|(-463703500899.12415,21309200435.005913,-1303680232900.517)|1.805673375335415e+21|734500
Uranus|(-2377468312644.697,1069037207865.7029,612324319057.9373)|8.681272957074655e+25|24893874
Miranda|(-2377434633231.645,1069163325624.0824,612336842791.7369)|6.472078604224378e+19|235700
Ariel|(-2377439388211.651,1068879826081.3003,612450450220.6713)|1.2505610926406112e+21|578900
Umbriel|(-2377525548980.178,1069209896160.1571,612219638445.5056)|1.2749829875199346e+21|584700
Titania|(-2377649260452.0815,1069158515286.5675,612111663707.9236)|3.4003742187517756e+21|788900
Oberon|(-2377346583558.72,1068564598977.9479,612811988331.2769)|3.0764305790299925e+21|761400
Neptune|(-315975368259.47235,-504769383647.6799,-4514443814928.073)|1.0241260607830458e+26|24223904
Triton|(-315887598162.56274,-505066003262.77185,-4514604634811.196)|2.1390186451968037e+22|1353400
Pluto|(-4109817306718.378,2059526597924.459,-2602074683626.975)|1.3029718740416237e+22|1187000
Charon|(-4109823162391.4233,2059510838964.1238,-2602066953139.232)|1.5864357529377172e+21|603500
