NAME|POSITION|VELOCITY|MASS|RADIUS
Sun|(28040685286.312965,-57454393405.84678,-132479309983.75)|(29731.571523165578,2298.61162540651,5302.045443663926)|1.9884754913722736e+30|696342016.0
Earth|(0.0,0.0,0.0)|(0.0,0.0,0.0)|5.972365131085893e+24|6371000.0
Mercury|(20500063929.069496,-35188268510.44838,-92254867187.2419)|(-28100.307891924553,4278.6092771310105,-2236.090919929992)|3.301096012882091e+23|2439700.0
Io|(746639822617.5128,-149616509052.3687,-306584206665.6874)|(47504.44527823756,11775.150036940264,26112.201195556176)|8.929943606013153e+22|1811300.0
Venus|(96075030515.65346,-95900644543.4183,-208388622670.8589)|(56830.991083331515,9791.911033239241,25780.09121100774)|4.867466265910435e+24|6049000.0
Jupiter|(746407667341.3541,-149468780908.56677,-306266745553.30493)|(33013.48746413346,7446.462701085987,17497.504538652393)|1.8981872313371659e+27|70941832.0
Titan|(-1383152270091.8242,21825189938.37903,-87187944984.14304)|(28692.74902212119,-1735.6304248027063,2018.6706589888854)|1.345224848407597e+23|2573300.0
Phobos|(218270038031.129,-95317831801.78522,-203781052834.6738)|(40935.4844847391,10954.415961593804,26024.279343515896)|1.061951065030656e+16|7250.0
Vesta|(232975338060.26886,38791812257.624985,177143701150.7633)|(15120.981275847413,7626.9840888846265,13922.291440706926)|2.590356332376081e+20|262700.0
Moon|(-362833354.4610852,-50346695.07340233,-84205230.32173148)|(326.4097094799066,-468.1357828744458,-871.4786583456154)|7.3460312199466515e+22|1737100.0
Mars|(218277444940.22177,-95319436602.89574,-203775718138.93396)|(40106.09968964246,12230.55226498572,27571.00657068058)|6.417120021813109e+23|3375800.0
Deimos|(218264723676.87668,-95304963367.48769,-203762327277.9021)|(39153.17967074728,12276.797880766837,26614.652139087404)|1440733357670400.0|5456.0
Ceres|(211474889405.34717,-256556838150.0562,-478473542257.67346)|(45049.75969225709,2436.7101762995667,12286.441519745054)|9.384439759090473e+20|473000.0
Europa|(746871616981.8718,-149679916553.86133,-306712958733.1338)|(42949.11892797543,11570.376881581173,25839.313595939857)|4.798771851987837e+22|1550800.0
Ganymede|(747128864755.2943,-149122102549.82883,-305556185952.64575)|(24973.75113162606,10473.567120900896,24179.93371469962)|1.4815277322818458e+23|2624100.0
Callisto|(747405784393.8688,-150137882367.39465,-307698356853.8097)|(39990.871620326376,9417.394484035827,21464.882090095314)|1.0756972009324145e+23|2409300.0
Saturn|(-1384346882928.4995,21928848647.57657,-87213006019.27133)|(28717.932607951127,-1350.8933754637737,-3644.0150604654264)|5.68336105237087e+26|59216476.0
Mimas|(-1384415263916.1792,21916882421.215416,-87039712211.34134)|(15432.361243668032,208.43382039065,-8492.929868141062)|3.751114979943855e+19|198200.0
Enceladus|(-1384581422374.4365,21945865794.766754,-87169927008.06488)|(26508.765461846968,-253.85934858643168,-15977.681024453737)|1.080516552855472e+20|252100.0
Tethys|(-1384607533687.5256,21956491453.83103,-87347545245.76831)|(33937.154502751364,-1177.6828230316064,-13724.264540344715)|6.17479537709514e+20|531100.0
Dione|(-1384335195165.8472,21955629266.603233,-87588454104.85944)|(38726.40102768612,-2233.5266362719085,-3392.502479784953)|1.0955272791119165e+21|561400.0
Rhea|(-1384141059770.7837,21948593503.120583,-87697327072.56985)|(36504.66691903326,-2222.051468732051,-369.2975318918652)|2.3065720294033746e+21|763800.0
Iapetus|(-1380956251028.5325,21309129518.339912,-86923509764.75955)|(28538.760219805965,-773.219134150801,-338.19438924185124)|1.805673375335415e+21|734500.0
Uranus|(-373002904735.9144,1069037379440.7106,2426554293080.137)|(22941.334388971023,1867.4914240029361,4098.322769147409)|8.681272957074655e+25|24893874.0
Miranda|(-372988148191.2716,1069163406262.8561,2426526525642.609)|(29442.64538783057,860.6962349827013,2949.4344682843903)|6.472078604224378e+19|235700.0
Ariel|(-372897198665.01917,1068879742990.7928,2426574259179.4575)|(18508.714257136115,-891.1101516928779,5865.065297258944)|1.2505610926406112e+21|578900.0
Umbriel|(-373206322750.48706,1069210376882.999,2426552497077.1772)|(25786.16621069693,5195.8051507271475,2536.8385549617465)|1.2749829875199346e+21|584700.0
Titania|(-373418173268.17676,1069158998710.4855,2426613950000.7886)|(23767.2764101453,5233.8468117883895,2987.767269045838)|3.4003742187517756e+21|788900.0
Oberon|(-372666162692.057,1068564618557.4923,2426610007286.648)|(20456.115918698782,212.32964441321838,5112.073314226961)|3.0764305790299925e+21|761400.0
Neptune|(-4274226056830.183,-504769353623.0922,-1486946519746.919)|(31407.685880599536,323.93088811081043,579.9403687398526)|1.0241260607830458e+26|24223904.0
Triton|(-4274333189801.322,-505065811655.3438,-1487109269689.0603)|(27413.983151371896,2064.290238098034,38.95907468997393)|2.1390186451968037e+22|1353400.0
Pluto|(-4010028193815.8916,2059526735608.4604,2753369673599.5864)|(27624.18087359646,1478.9843192629776,677.1735847884429)|1.3029718740416237e+22|1187000.0
Charon|(-4010035447681.916,2059510989116.9478,2753360544585.427)|(27482.602796215535,1609.5519111323774,564.5455681844469)|1.5864357529377172e+21|603500.0
